neighbour,distance
761538,841
26521,841
25237,841
478016,840
827293,840
366670,839
269797,839
279329,839
270142,838
114157,836
377246,835
551024,834
603612,834
832470,833
479730,833
22005,833
573894,833
132589,833
290993,833
347884,832
71036,831
22672,831
828703,830
431089,830
540992,830
837659,829
82503,828
777777,827
4322,826
665947,825
753937,823
559909,823
426196,822
343037,822
611348,822
49902,821
718001,821
213180,821
777868,820
540421,820
352964,818
59407,818
120984,816
589027,816
254396,816
311651,815
135809,815
588978,815
606454,814
516440,814
483040,811
623272,809
177965,806
560502,805
321798,804
643082,804
699688,800
594236,800
609553,799
570547,799
247540,799
462307,797
678714,797
731780,795
827036,794
8873,793
584153,791
99214,790
343400,787
178883,786
510692,784
600,783
650606,781
679044,781
547435,781
65804,780
135476,779
121993,779
572034,776
381049,769
58837,769
661636,768
522935,766
787578,765
64684,757
824520,753
177231,753
585559,746
394993,745
318619,744
11021,743
410340,741
471566,738
473750,737
46754,729
849132,720
751730,716
328628,711
99603,709
345749,639
